wikidata_id,item,name,description,type,category,subcategory,label,wikipedia_categories,instance_of,country,country_of_origin,English_description,num_properties,num_languages,wikipedia_title,average_daily_views,word_count_en
Q229390,http://www.wikidata.org/entity/Q229390,3D film,stereoscopic film,concept,films,film,cultural agnostic,"1950s fads and trends, 3d films, 3d imaging, audiovisual introductions in 1915, cinematography, film and video technology, film production, filmmaking, motion picture film formats, special-venue films",type of cinematic work,,,stereoscopic film,29.0,49.0,3D film,473.0,17558.0
Q2180721,http://www.wikidata.org/entity/Q2180721,48 Hour Film Project,National Film Festival,entity,films,film festival,cultural agnostic,"film competitions, film festivals held in multiple countries, short film festivals",film festival,United States,,National Film Festival,6.0,5.0,48 Hour Film Project,30.0,1816.0
Q1060398,http://www.wikidata.org/entity/Q1060398,4D film,film presented with synchronized physical effects,concept,films,film,cultural agnostic,"1984 introductions, 4d films, motion picture film formats, special-venue films",,,,film presented with synchronized physical effects,7.0,25.0,4D film,197.0,2074.0
Q4639659,http://www.wikidata.org/entity/Q4639659,5-hour Energy,energy shot drink,concept,food,drink,cultural agnostic,"american companies established in 2004, energy drinks, food and drink companies established in 2015, food and drink introduced in 2004",commercial organization,,United States,energy shot drink,8.0,2.0,5-hour Energy,207.0,1560.0
Q275936,http://www.wikidata.org/entity/Q275936,900 North Michigan,architectural structure,entity,architecture,architectural structure,cultural exclusive,"1980s architecture in the united states, 1989 establishments in illinois, condo hotels in the united states, kohn pedersen fox buildings, office buildings in chicago, residential buildings completed in 1989, residential condominiums in chicago, residential skyscrapers in chicago, shopping malls in chicago, streeterville, chicago",architectural structure,United States,,architectural structure,18.0,15.0,900 North Michigan,70.0,1688.0
Q1758841,http://www.wikidata.org/entity/Q1758841,A Campingflight to Lowlands Paradise,music festival in Netherlands,concept,music,music festival,cultural exclusive,"1993 establishments in the netherlands, music festivals established in 1993, music festivals in the netherlands, music in dronten, pop music festivals, rock festivals in the netherlands",annual event,Netherlands,,music festival in Netherlands,18.0,9.0,Lowlands (festival),66.0,4448.0
Q3602929,http://www.wikidata.org/entity/Q3602929,A La Vieille Russie,antique store in New York,entity,visual arts,art gallery,cultural representative,"1851 establishments in the russian empire, art museums and galleries established in 1851, art museums and galleries in manhattan, fifth avenue",art gallery,United States,,antique store in New York,19.0,5.0,A La Vieille Russie,12.0,1942.0
Q3728308,http://www.wikidata.org/entity/Q3728308,A las armas,Comic of Paling and Ko,entity,comics and anime,comics,cultural exclusive,"1974 graphic novels, 1974 in comics, mort & phil comic books",comics,,Spain,Comic of Paling and Ko,9.0,5.0,¡A las armas!,5.0,599.0
Q85739206,http://www.wikidata.org/entity/Q85739206,A Lotus for Miss Quon,1961 novel by James Hadley Chase,entity,books,book,cultural exclusive,"1960s thriller novel stubs, 1961 british novels, british novels adapted into films, british thriller novels, novels by james hadley chase, robert hale books",book,,United Kingdom,1961 novel by James Hadley Chase,5.0,1.0,A Lotus for Miss Quon,10.0,339.0
Q614986,http://www.wikidata.org/entity/Q614986,A Modern Olympia,painting by Paul Cézanne,entity,visual arts,painting,cultural representative,"1873 paintings, 1874 paintings, nude art, oil on canvas paintings, paintings by paul cézanne, paintings in the musée d'orsay, paintings of black people, paintings of dogs, prostitution in paintings",painting,,,painting by Paul Cézanne,24.0,6.0,A Modern Olympia,28.0,2340.0
Q23912,http://www.wikidata.org/entity/Q23912,A Young Tiger Playing with its Mother,painting by Eugène Delacroix,entity,visual arts,painting,cultural representative,"1831 paintings, oil on canvas paintings, paintings by eugène delacroix, paintings in the louvre by french artists, tigers in art",painting,,,painting by Eugène Delacroix,27.0,7.0,A Young Tiger Playing with Its Mother,17.0,3039.0
Q277763,http://www.wikidata.org/entity/Q277763,A-1 Pictures,Japanese animation studio,entity,comics and anime,animation studio,cultural representative,"a-1 pictures, animation studios in tokyo, japanese animation studios, japanese companies established in 2005, mass media companies established in 2005, suginami",animation studio,Japan,,Japanese animation studio,40.0,31.0,A-1 Pictures,1727.0,5930.0
Q9513,http://www.wikidata.org/entity/Q9513,A. P. J. Abdul Kalam,Indian scientist and statesman (1931–2015),entity,politics,politician,cultural representative,"1931 births, 2015 deaths, 20th-century indian engineers, 20th-century indian politicians, 21st-century indian muslims, 21st-century indian engineers, 21st-century indian politicians, a. p. j. abdul kalam, academic staff of the international institute of information technology, hyderabad, defence research and development organisation",human,,,Indian scientist and statesman (1931–2015),87.0,98.0,A. P. J. Abdul Kalam,4962.0,15682.0
Q1945630,http://www.wikidata.org/entity/Q1945630,A.S. Roma,auto racing team associated with above,entity,sports,sports team,cultural representative,"2008 establishments in italy, as roma, superleague formula club teams",sports team,,,auto racing team associated with above,3.0,3.0,AS Roma (Superleague Formula team),7.0,751.0
Q301092,http://www.wikidata.org/entity/Q301092,Aardman Animations,British animation studio,entity,media,film studio,cultural representative,"1972 establishments in england, aardman animations, british animation studios, british companies established in 1972, companies based in bristol, employee-owned companies of the united kingdom, film production companies of the united kingdom, mass media companies established in 1972, peabody award winners, television production companies of the united kingdom",animation studio,United Kingdom,,British animation studio,61.0,36.0,Aardman Animations,832.0,4688.0
Q2708661,http://www.wikidata.org/entity/Q2708661,Aba I,Patriarch of the Church of the East at Seleucia-Ctesiphon,entity,philosophy and religion,religious leader,cultural exclusive,"552 deaths, 6th-century iranian people, 6th-century bishops of the church of the east, assyrian church of the east saints, christians in the sasanian empire, converts to christianity from zoroastrianism, nestorians, patriarchs of the church of the east, persian saints",human,,,Patriarch of the Church of the East at Seleucia-Ctesiphon,30.0,16.0,Aba I,23.0,2021.0
Q30556,http://www.wikidata.org/entity/Q30556,Abbad II al-Mu'tadid,"Ruler of Seville, Al-Andalus from 1042 to 1069",entity,literature,poet,cultural exclusive,"1069 deaths, 11th-century arab people, 11th-century monarchs in al-andalus, abbadid dynasty, al-andalus people stubs, european royalty stubs",human,,,"Ruler of Seville, Al-Andalus from 1042 to 1069",29.0,20.0,Abbad II al-Mu'tadid,21.0,466.0
Q55210,http://www.wikidata.org/entity/Q55210,Abbas Kiarostami,"Iranian film director, screenwriter, photographer and film producer (1940–2016)",entity,films,film producer,cultural representative,"1940 births, 2016 deaths, 20th-century iranian poets, 21st-century iranian poets, abbas kiarostami, akira kurosawa award winners, crystal simorgh for best director winners, deaths from cancer in france, deaths from gastrointestinal cancer, directors of palme d'or winners",human,,,"Iranian film director, screenwriter, photographer and film producer (1940–2016)",185.0,68.0,Abbas Kiarostami,528.0,11081.0
Q157550,http://www.wikidata.org/entity/Q157550,Abbey and Altenmünster of Lorsch,UNESCO World Heritage Abbey of Lorsch in Germany,entity,history,museum,cultural representative,"764 establishments, 8th-century establishments in germany, 8th-century religious buildings and structures, benedictine monasteries in germany, buildings and structures in bergstraße (district), burial sites of the carolingian dynasty, carolingian architecture, christian monasteries established in the 8th century, imperial abbeys, monasteries in hesse",abbey,Germany,,UNESCO World Heritage Abbey of Lorsch in Germany,48.0,44.0,Lorsch Abbey,63.0,2847.0
Q262737,http://www.wikidata.org/entity/Q262737,ABC Motors,"manufacturer of cars, aircraft, motor scooters, and engines",entity,transportation,automobile manufacturer,cultural agnostic,"1912 establishments in england, 1951 disestablishments in england, 1951 mergers and acquisitions, abc aircraft engines, british companies disestablished in 1951, british companies established in 1912, defunct aircraft engine manufacturers of the united kingdom, defunct aircraft manufacturers of the united kingdom, defunct companies based in surrey, defunct motor vehicle manufacturers of england",automobile manufacturer,United Kingdom,,"manufacturer of cars, aircraft, motor scooters, and engines",10.0,11.0,ABC Motors,22.0,861.0
Q84044419,http://www.wikidata.org/entity/Q84044419,Abeiku Crentsil,Ghanaian politician,entity,architecture,construction,cultural exclusive,"1973 births, ghanaian mps 2013–2017, ghanaian mps 2021–2025, ghanaian methodists, ghanaian politician stubs, living people, national democratic congress (ghana) politicians, people from central region (ghana)",human,,,Ghanaian politician,14.0,11.0,Abeiku Crentsil,5.0,689.0
Q9457,http://www.wikidata.org/entity/Q9457,Abid Surti,"Indian author, painter, cartoonist, journalist, environmentalist, playwright and screenwriter",entity,literature,writer,cultural exclusive,"1935 births, 20th-century indian male writers, 20th-century indian novelists, activists from maharashtra, artists from mumbai, english-language writers from india, gujarati-language writers, gujarati people, hindi-language writers, indian muslims",human,,,"Indian author, painter, cartoonist, journalist, environmentalist, playwright and screenwriter",34.0,5.0,Abid Surti,23.0,2475.0
Q25350,http://www.wikidata.org/entity/Q25350,Abies,genus of plants,concept,biology,tree,cultural agnostic,"abies, extant ypresian first appearances, pinaceae, taxa named by philip miller",taxon,,,genus of plants,84.0,99.0,Fir,482.0,4011.0
Q59647,http://www.wikidata.org/entity/Q59647,Abitibi River,"tributary of the Moose River, in northeastern Ontario, Canada",entity,geography,river,cultural exclusive,rivers of cochrane district,river,Canada,,"tributary of the Moose River, in northeastern Ontario, Canada",20.0,20.0,Abitibi River,18.0,1141.0
Q322956,http://www.wikidata.org/entity/Q322956,Aboriginal and Torres Strait Islander Commission,"Australian government agency, 1990-2004",entity,politics,government agency,cultural exclusive,"1990 establishments in australia, 2005 disestablishments in australia, defunct organisations serving indigenous australians, government agencies disestablished in 2005, government agencies established in 1990, indigenous australian politics",government agency,Australia,,"Australian government agency, 1990-2004",17.0,2.0,Aboriginal and Torres Strait Islander Commission,38.0,1581.0
Q91,http://www.wikidata.org/entity/Q91,Abraham Lincoln,president of the United States from 1861 to 1865,entity,politics,politician,cultural representative,"1809 births, 1865 deaths, 19th-century members of the illinois general assembly, 19th-century members of the united states house of representatives, 19th-century presidents of the united states, abraham lincoln, american abolitionists, american lawyers admitted to the practice of law by reading law, american military personnel of the indian wars, american militia officers",human,,,president of the United States from 1861 to 1865,309.0,286.0,Abraham Lincoln,14667.0,13690.0
Q4650387,http://www.wikidata.org/entity/Q4650387,ABS-CBN Integrated News,division of ABS-CBN Corporation and TV5 Network Inc.,entity,media,media company,cultural exclusive,abs-cbn news and current affairs,media company,Philippines,,division of ABS-CBN Corporation and TV5 Network Inc.,8.0,4.0,ABS-CBN News and Current Affairs,141.0,3326.0
Q2822053,http://www.wikidata.org/entity/Q2822053,Absolution of the dead,prayer for or a declaration of absolution of a dead person's sins that takes place at the person's religious funeral,entity,gestures and habits,ritual,cultural exclusive,"catholic liturgy, christian prayer, christianity and death, death customs, eastern christian liturgy, requiems",ritual,,,prayer for or a declaration of absolution of a dead person's sins that takes place at the person's religious funeral,8.0,6.0,Absolution of the dead,19.0,2009.0
Q332564,http://www.wikidata.org/entity/Q332564,abstract animation film,film genre,concept,comics and anime,animated film,cultural agnostic,"Film theory, Non-narrative films, Experimental film, Film and video terminology, Film genres, Movements in cinema, Abstract animation, Cinema of Germany, Abstract art, Visual music, History of film",film genre,,,film genre,11.0,6.0,Abstract animation,17.0,6552.0
Q7849,http://www.wikidata.org/entity/Q7849,Abu Dhabi Grand Prix,Formula One motor race,entity,sports,recurring sporting event,cultural representative,"2009 establishments in the united arab emirates, abu dhabi grand prix, formula one grands prix, recurring sporting events established in 2009",recurring sporting event,United Arab Emirates,,Formula One motor race,17.0,46.0,Abu Dhabi Grand Prix,360.0,1869.0
Q5670,http://www.wikidata.org/entity/Q5670,Abu Nuwas,8th-century classical Arabic poet,entity,literature,poet,cultural representative,"750s births, 810s deaths, 8th-century arabic-language poets, 9th-century arabic-language poets, arab lgbtq people, arabic erotic literature, courtiers from the abbasid caliphate, folklore characters, gay muslims, gay poets",human,,,8th-century classical Arabic poet,102.0,155.0,Abu Nuwas,202.0,5973.0
Q2704613,http://www.wikidata.org/entity/Q2704613,Abul Hasan ash-Shadhili,Founder of the Shadhili order,entity,philosophy and religion,religious leader,cultural exclusive,"1196 births, 1258 deaths, 13th-century arab people, 13th-century berber people, 13th-century moroccan writers, asharis, berber writers, egyptian sufis, founders of sufi orders, malikis",human,,,Founder of the Shadhili order,54.0,21.0,Al-Shadhili,70.0,3733.0
Q337429,http://www.wikidata.org/entity/Q337429,Académico F.C.,"association football team from Porto, Portugal",entity,sports,sports club,cultural exclusive,"1911 establishments in portugal, association football clubs established in 1911, football clubs in porto, football clubs in portugal, portuguese football club stubs, primeira liga clubs",association football club,Portugal,,"association football team from Porto, Portugal",10.0,9.0,Académico F.C.,11.0,472.0
Q288066,http://www.wikidata.org/entity/Q288066,ACBS Asian Snooker Championship,snooker tournament,entity,sports,recurring sporting event,cultural agnostic,"1984 establishments in asia, acbs asian snooker championship, asian championships, recurring sporting events established in 1984, snooker amateur competitions, snooker competitions in asia",recurring sporting event,,,snooker tournament,6.0,5.0,ACBS Asian Snooker Championship,16.0,1872.0
Q4672263,http://www.wikidata.org/entity/Q4672263,Accelerade,sports drink brand,concept,food,drink,cultural agnostic,"non-alcoholic drink stubs, non-alcoholic drinks, sports drinks",brand,,United Kingdom,sports drink brand,4.0,1.0,Accelerade,7.0,477.0
Q16001522,http://www.wikidata.org/entity/Q16001522,accelerationism,political philosophy that the prevailing system of capitalism should be expanded in order to generate radical social change,entity,philosophy and religion,philosophical movement,cultural agnostic,"2010s neologisms, accelerationism, anti-capitalism, far-left politics, ideologies of capitalism, marxism, neo-nazism, philosophy of technology, reactionary, revolution terminology",philosophical movement,,,political philosophy that the prevailing system of capitalism should be expanded in order to generate radical social change,5.0,28.0,Accelerationism,2419.0,7362.0
Q4672374,http://www.wikidata.org/entity/Q4672374,acceptable use policy,a set of rules applied by the manager of a network,concept,politics,policy,cultural agnostic,"information technology management, terms of service",,,,a set of rules applied by the manager of a network,4.0,6.0,Acceptable use policy,108.0,2005.0
Q83390,http://www.wikidata.org/entity/Q83390,acclamatio,expression of enthusiasm in Ancient Roman and Byzantine tradition; common to many political and religious rituals and important to medieval Christian worship,concept,gestures and habits,greeting,cultural agnostic,"genres of byzantine music, society of ancient rome",hymn,,Ancient Rome,expression of enthusiasm in Ancient Roman and Byzantine tradition; common to many political and religious rituals and important to medieval Christian worship,9.0,10.0,Acclamatio,14.0,548.0
Q419736,http://www.wikidata.org/entity/Q419736,acclamation,form of election that does not use a ballot,concept,gestures and habits,greeting,cultural agnostic,elections,,,,form of election that does not use a ballot,12.0,24.0,Acclamation,110.0,562.0
Q706884,http://www.wikidata.org/entity/Q706884,accomplice,"person who actively participates in the commission of a crime, even if they take no part in the actual criminal offense, with the other perpetrators",entity,politics,law,cultural agnostic,Criminal law,law,,,"person who actively participates in the commission of a crime, even if they take no part in the actual criminal offense, with the other perpetrators",18.0,24.0,Accomplice,57.0,2501.0
Q1863064,http://www.wikidata.org/entity/Q1863064,accordionist,someone who plays the accordion,entity,music,musical profession,cultural representative,"Accordion, Folk music instruments, German inventions, 19th-century inventions, Symbols of Rio Grande do Sul",musical profession,,,someone who plays the accordion,23.0,10.0,Accordionist,7.0,10741.0
Q42292,http://www.wikidata.org/entity/Q42292,Acer,genus of plants,concept,biology,tree,cultural agnostic,"maple, plant dyes, taxa named by carl linnaeus",taxon,,,genus of plants,93.0,112.0,Maple,1026.0,4791.0
Q386510,http://www.wikidata.org/entity/Q386510,Achatinidae,family of molluscs,concept,biology,animal,cultural agnostic,"achatinidae, extant pleistocene first appearances, gastropod families",taxon,,,family of molluscs,31.0,20.0,Achatinidae,25.0,894.0
Q236932,http://www.wikidata.org/entity/Q236932,acid rock,subgenre of psychedelic rock music,entity,music,music genre,cultural representative,"1960s in american music, 1960s neologisms, 20th-century music genres, acid rock, psychedelic rock, rock music genres",music genre,,United States,subgenre of psychedelic rock music,18.0,31.0,Acid rock,304.0,5982.0
Q196188,http://www.wikidata.org/entity/Q196188,acidophile,organisms that thrive under highly acidic conditions (usually at pH 2.0 or below),concept,biology,organism,cultural agnostic,"acidophiles, physiology",,,,organisms that thrive under highly acidic conditions (usually at pH 2.0 or below),8.0,32.0,Acidophile,52.0,1180.0
Q423918,http://www.wikidata.org/entity/Q423918,acousmatic music,form of electroacoustic music,entity,music,music genre,cultural agnostic,"electronic music, experimental music, music technology",music genre,,,form of electroacoustic music,8.0,13.0,Acousmatic music,49.0,2109.0
Q288838,http://www.wikidata.org/entity/Q288838,ACT New Zealand,New Zealand political party,entity,politics,political party,cultural exclusive,"1994 establishments in new zealand, act new zealand, climate change denial, political parties established in 1994, political parties in new zealand",political party,New Zealand,,New Zealand political party,18.0,15.0,ACT New Zealand,490.0,10945.0
Q188473,http://www.wikidata.org/entity/Q188473,action film,film genre,concept,films,film,cultural agnostic,"1960s in film, 1970s in film, 1980s in film, 1990s in film, 2000s in film, 2010s in film, action films, film genres",film genre,,,film genre,26.0,66.0,Action film,2290.0,10088.0
Q4010939,http://www.wikidata.org/entity/Q4010939,active mobility,unmotorised transport powered by human physical activity,concept,transportation,mode of transport,cultural agnostic,"energy in transport, health and transport, health effects by subject, public health, sustainable transport, transport by mode, transport culture, types of travel, women's health",alternative transportation,,,unmotorised transport powered by human physical activity,8.0,12.0,Active mobility,46.0,5885.0
Q4677625,http://www.wikidata.org/entity/Q4677625,activity book,book which is intended to be written in or otherwise modified.,concept,books,book,cultural agnostic,"book terminology, books by type, children's books, library and information science stubs, library science",,,,book which is intended to be written in or otherwise modified.,8.0,5.0,Activity book,24.0,514.0
Q344394,http://www.wikidata.org/entity/Q344394,Acton,town in Indianapolis,entity,geography,neighborhood,cultural exclusive,"1852 establishments in indiana, indianapolis metropolitan area, neighborhoods in indianapolis, populated places established in 1852",town,United States,,town in Indianapolis,16.0,5.0,"Acton, Indiana",26.0,1153.0
Q4677709,http://www.wikidata.org/entity/Q4677709,actor-manager,leading actor who sets up their own permanent theatrical company and manages the company's business,concept,performing arts,actor,cultural agnostic,"actor-managers, theatrical management, theatrical occupations",profession,,,leading actor who sets up their own permanent theatrical company and manages the company's business,5.0,1.0,Actor-manager,19.0,954.0
Q21169216,http://www.wikidata.org/entity/Q21169216,actress,female actor,concept,performing arts,actor,cultural agnostic,"Acting, Entertainment occupations, Filmmaking occupations, Television terminology, Theatrical occupations",occupation,,,female actor,26.0,17.0,Actress,260.0,6826.0
Q289953,http://www.wikidata.org/entity/Q289953,ADAC,automobile club in Germany,entity,literature,publisher,cultural exclusive,"automobile associations, emergency road services, financial services companies established in 1903, road safety organizations, road transport in germany, transport organisations based in germany",motor club,Germany,,automobile club in Germany,57.0,26.0,ADAC,177.0,4284.0
Q4214,http://www.wikidata.org/entity/Q4214,Adam de la Halle,"French poet, composer and trouvère",entity,literature,writer,cultural representative,"13th-century french composers, 13th-century french dramatists and playwrights, 13th-century french poets, 13th-century births, french male classical composers, french male dramatists and playwrights, french male poets, medieval male composers, people from arras, trouvères",human,,,"French poet, composer and trouvère",135.0,45.0,Adam de la Halle,46.0,2436.0
Q310285,http://www.wikidata.org/entity/Q310285,Adam Elsheimer,German painter and draftsman (1578-1610),entity,fashion,designer,cultural representative,"1578 births, 1610 deaths, 17th-century german painters, artists from frankfurt, german mannerist painters, german roman catholics, german male painters, painters from rome",human,,,German painter and draftsman (1578-1610),147.0,29.0,Adam Elsheimer,29.0,2381.0
Q352270,http://www.wikidata.org/entity/Q352270,Adanaspor,association football club,entity,sports,sports club,cultural exclusive,"1954 establishments in turkey, adanaspor, association football clubs established in 1954, football clubs in turkey, sports clubs and teams in adana, süper lig clubs",sports club,Turkey,,association football club,24.0,25.0,Adanaspor,284.0,2663.0
Q31353,http://www.wikidata.org/entity/Q31353,Adèle Haenel,French actress,entity,performing arts,actor,cultural representative,"1989 births, 21st-century french lgbtq people, 21st-century french actresses, actresses from paris, best actress césar award winners, best supporting actress césar award winners, french trotskyists, french feminists, french film actresses, french lesbian actresses",human,,,French actress,102.0,38.0,Adèle Haenel,736.0,5490.0
Q367540,http://www.wikidata.org/entity/Q367540,adelphopoiesis,old Christian ceremony to unite two people of the same sex,entity,gestures and habits,ritual,cultural exclusive,"christian terminology, christian worship and liturgy, history of eastern christianity, same-sex unions",ritual,,,old Christian ceremony to unite two people of the same sex,8.0,17.0,Adelphopoiesis,133.0,2426.0
Q1306755,http://www.wikidata.org/entity/Q1306755,administrative centre,"seat of regional administration or local government, or a county town, or the place where the central administration of a commune is located",concept,geography,geographic location,cultural agnostic,"government, regions",,,,"seat of regional administration or local government, or a county town, or the place where the central administration of a commune is located",12.0,43.0,Administrative centre,126.0,1724.0
Q13455645,http://www.wikidata.org/entity/Q13455645,administrative city in the Republic of Ireland,do not use for Kilkenny or Cities in Northern Ireland,concept,geography,city,cultural exclusive,"Cities in Ireland, City status, Lists of cities in Europe, Ireland-related lists",,Ireland,,do not use for Kilkenny or Cities in Northern Ireland,2.0,1.0,Administrative cities in the Republic of Ireland,2.0,10989.0
Q515244,http://www.wikidata.org/entity/Q515244,administrative procedure,Soviet euphemism for extrajudicial punishment,concept,politics,policy,cultural exclusive,"euphemisms, extrajudicial killings, russia stubs, russian administrative law, soviet union stubs, soviet phraseology",,,,Soviet euphemism for extrajudicial punishment,10.0,15.0,Administrative process,11.0,346.0
Q358832,http://www.wikidata.org/entity/Q358832,administrator,Catholic Church administrator,concept,philosophy and religion,religious leader,cultural representative,catholic canon law of property,position,,,Catholic Church administrator,10.0,3.0,Ecclesiastical administrator,3.0,2058.0
Q3270129,http://www.wikidata.org/entity/Q3270129,Admiralty,business district in Hong Kong,entity,geography,geographic location,cultural exclusive,"admiralty, hong kong, restricted areas of hong kong red public minibus, urban areas of hong kong",geographic location,People's Republic of China,,business district in Hong Kong,11.0,15.0,"Admiralty, Hong Kong",60.0,2104.0
Q289078,http://www.wikidata.org/entity/Q289078,ADN,Political party in Ecuador,entity,politics,political party,cultural exclusive,"2006 establishments in ecuador, democratic socialist parties in south america, ecuadorian nationalism, political parties established in 2006, political parties in ecuador, social democratic parties in south america, socialist parties in ecuador, são paulo forum",political party,Ecuador,,Political party in Ecuador,26.0,21.0,Mover (political party),94.0,4153.0
Q98756,http://www.wikidata.org/entity/Q98756,Ado Kraemer,German chess player (1898–1972),entity,books,non-fiction writer,cultural exclusive,"1898 births, 1972 deaths, 20th-century german chess players, german chess biography stubs, german chess players, people from büdingen, sportspeople from darmstadt (region)",human,,,German chess player (1898–1972),29.0,7.0,Ado Kraemer,4.0,178.0
